# qx                      qy                      qz                      omega                   d2dos                   d2dos1                  d2dos2                  n2dos                   n2dos1                  n2dos2
 -0.4000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1717586175539E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.4000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1890094943629E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.4000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2133826871235E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.4000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2133826901436E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.4000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2220220119494E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.3000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.6523667232420E+02     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.3000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.6523668448370E+02     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.3000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1308455534906E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.3000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1763553661345E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.3000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1763553771101E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.3000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1912215074335E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
 -0.3000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2121792568249E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
